# Curation Policy for Zcash Radio
# -------------------------------
# Our mission is to provide a high-quality experience, while secondarily rewarding high-quality visual content. As such, we curate
# the playlist by maintaining a denylist of YouTube IDs and our reasoning below.
# 
# Submit content to Zcash.radio by joining the Zcash Community Forum and posting in this thread:
#   https://forum.zcashcommunity.com/t/what-are-you-listening-to/20456
#
# - This file is maintained manually. If you wish to request a change, please open an issue or PR on GitHub.
# - The default is inclusion despite genre. Tracks are only removed for clear reasons.
#
# Primary Removal Categories
# - Non-music videos
# - Advertisements
# - Product promos
# - Conference talks or interviews
# - Shorts/reels with no real musical content
# - Meme tracks (e.g. “Bitcoin will be pump” loop videos)
# - Dead links or region-locked videos
#
# We may consider removing album-length tracks (full albums, DJ sets, live concerts)
#
# Sparingly, there are a few tracks that I (@aphelionz) simply don't like. My gallery, my curation :)
#
# When a track is removed, an entry is added below with the following format:
# <YouTube Video ID> | <Reason/Tag>

G7g44Bca1UQ | meme: Bitcoin will be pump
1pqIFDI18ZY | meme: Crypto Christmas
GaoLU6zKaws | meme: Sexy Sax Man Careless Whisper
ncq-6ijmYe8 | meme: ZEC to the moon
7eIUOUfhoJ8 | meme: The Privacy Song
1TewCPi92ro | non_music: ITS FRIDAY MUFASA
# No, I'm not removing the Zcash anthem :)

iH1vZOhP260 | short: gen alpha dancing

5BXtgq0Nhsc | non_music: Noam Chomsky - The Crimes of U.S. Presidents
_CVDdKot54A | non_music: MGRC Candidate Q&A Live Streams: Time Slot #1
GaV9iMnkIak | non_music: The Amish Exception
bRuly9lyRO8 | non_music: Nate Wilcox Pool Retirement at Zcon3
yAJ6BtZDhUk | non_music: Ronald J Deibert at TedXToronto
1zdeqBp2Njc | non_music: Shrek Pied Piper
qxOeWuAHOiw | non_music: Joe Rogan Kanye West Interview
FpaoCUEhZJM | non_music: Tracklib Sample Breakdown
6_CZpFqvDQo | non_music: 35 Year Old Commodore 64 Easter Egg
-KZ8fD9dy7c | non_music: Black Screen Thunderstorm
MICPyrnGYwg | non_music: Tombstone Movie Clip
IUDTlvagjJA | non_music: Virtual Barber Shop

2aW7HweAf3o | 404
jbasz2BIAjg | 404
lwKD3wm57UQ | 404
K1b8AhIsSYQ | 404
opP4PcZ7aN4 | 404
-9BM6jGxW5Y | 404
ea2WoUtbzuw | 404
gHQjsO17txc | 404
mAeOauwkeOo | 404
QUFwOmq9vQ8 | 404
YCGIj7KmwyI | 404
NKENSJ1h7nk | 404
FuEMhyRw-VI | 404
UA39giCWBo4 | 404
wuxtc4kGxYQ | 404
Q4_EXQG-GXg | 404
yzCAhV5Tccs | 404
ANTY2tDgEiQ | 404
oadhHk2xs6c | 404
YVkUvmDQ3HY | 404
RaTAlvbC_T4 | 404
JBqs95xUiJs | 404
qOEMHg43psI | 404
tnAHN1guHbs | 404
2jEDFshChow | 404
UlR4Z4AZ1ho | 404
H-aQQOyS8cs | 404
dIjMULV-Q_Y | 404
ISly1Z1gOQQ | 404
9W-p-Atcu1k | 404

Nq5LMGtBmis | personal_preference: VULFPECK - It Gets Funkier
tUibbnw3y-o | personal_preference: Phantom of the Opera - Music of the Night
7odMzSb6WUQ | personal_preference: Paul Oakenfold - Starry Eyed Surprise
dmoDc3RwrMM | personal_preference: Barenaked Ladies - If I Had $1,000,000
